Id,Name,Type,Industry,BillingCountry,Website,Phone,NumberOfEmployees,AnnualRevenue,Ownership,AccountSource,Account_Type__c,Investment_Focus__c,AUM_Range__c,Preqin_External_Id
001KCUUTSGFgKfmrwE,KKR & Co. Inc.,Prospect,Investment Banking,Netherlands,https://www.kkr.co.uk,(917)653-3772,4054.0,,Subsidiary,Partner Referral,Fund Manager,Credit/Debt,$25B-$50B,
001XaWpbI7Tv9gd9Cg,Blackstone Group,Competitor,Asset Management,Sweden,,743.541.5823x233,1658.0,534677966.14181197,Subsidiary,Purchased List,Fund Manager,Fund of Funds,$500M-$1B,
001eXCudnogWz8gsTo,Robinsonport Investment Group,Prospect,Real Estate,United Kingdom,https://www.robinsonportinvestment.net,,2964.0,,Subsidiary,Partner Referral,Fund Manager,Hedge Fund,Under $100M,
001cot0YpY0bFkTYrp,Margaretport Investment Group,Prospect,Venture Capital,Germany,https://www.margaretportinvestment.net,627.723.3626x87913,2442.0,780158102.8366253,Public,Partner Referral,Service Provider,Venture Capital,$500M-$1B,
001qhn8Ia4KbwiOPVj,Sandoval & Associates,Customer,Venture Capital,United Kingdom,https://www.sandovalassociates.de,+1-818-853-6988x0217,,,Subsidiary,Web,Fund Manager,Infrastructure,$500M-$1B,
001R6qpGpmW5hsswAy,PLC Investment Management,Customer,Sovereign Wealth Fund,Netherlands,https://www.plcinvestment.fr,926-380-9622x9608,4162.0,859181103.9654409,Subsidiary,Purchased List,Fund Manager,Secondary,$1B-$5B,
001OkiZHF8d18iR1Qv,Lawson Partners,Prospect,Hedge Fund,United States,https://www.lawson.net,422.454.7015,2262.0,526627861.9887581,Subsidiary,Web,Service Provider,Fund of Funds,$5B-$10B,
001u0erZDAzzEPpr1X,LLC Investment Management,Prospect,Family Office,Canada,https://www.llcinvestment.de,219-645-2668x68046,,638946946.6513153,Other,Partner Referral,Fund Manager,Real Estate,$25B-$50B,
001gXtN2e3vyO5xGxT,Campbell & Associates,Customer,Family Office,Sweden,https://www.campbellassociates.net,+1-748-978-9131x75213,,37774621.77236322,Subsidiary,Phone Inquiry,Fund Manager,Venture Capital,$500M-$1B,
001a7omw3fjLgJaqpK,and Sons Investment Management,Partner,Private Equity,France,https://www.andsonsinvestment.co.uk,,3433.0,808868545.6137506,Public,Partner Referral,Investor,Venture Capital,$1B-$5B,
001ToTGtgLFqJI1Ogk,Jennifershire Investment Group,Competitor,Real Estate,Australia,,(850)423-7408,2930.0,,Other,Purchased List,Fund Manager,Hedge Fund,$10B-$25B,
001CyfoXZFnWDkaQnQ,New Joshua Investment Group,Partner,Insurance,Australia,https://www.newjoshuainvestment.co.uk,609.574.4903x89302,1515.0,,Public,Partner Referral,Fund Manager,Real Estate,$25B-$50B,
001w6qppdIxDhP4PJm,Jones Partners,Prospect,Insurance,Australia,https://www.jones.com,001-877-733-7546x423,4569.0,163019093.0512364,Public,Web,Service Provider,Venture Capital,$25B-$50B,
0018VCPD8aNyXsUhug,Lewis Stanley Capital,Competitor,Pension Fund,United Kingdom,,,2072.0,,Subsidiary,Phone Inquiry,Service Provider,Credit/Debt,$100M-$500M,
0011IGIx9Kpk3WQ47x,Brown Capital,Partner,Private Equity,Netherlands,https://www.brown.com,,4908.0,637810989.927714,Other,Partner Referral,Fund Manager,Secondary,$25B-$50B,
001dg3nXDAnwTcEz9L,LLC Investment Management,Partner,Infrastructure,United Kingdom,https://www.llcinvestment.fr,,3687.0,362010921.52611125,Subsidiary,Purchased List,Service Provider,Hedge Fund,$10B-$25B,
001QO819YCSQEmyh0m,West Lisa Investment Group,Customer,Real Estate,Norway,https://www.westlisainvestment.fr,+1-752-703-2548,4202.0,559205253.6431624,Subsidiary,Web,Investor,Venture Capital,$10B-$25B,
001fznamAoAsqZH7UD,Petersen Partners,Partner,Hedge Fund,Japan,,(958)414-7237x53743,3488.0,623557933.7788813,Subsidiary,Purchased List,Service Provider,Co-Investment,Under $100M,
001gXHoSaxRtUfkVXr,Wu Partners,Prospect,Infrastructure,United Kingdom,https://www.wu.co.uk,001-363-860-8915x066,,189259578.22537464,Private,Web,Fund Manager,Real Estate,$100M-$500M,
0011EepTFTvy9IO0xr,Gould & Associates,Competitor,Hedge Fund,Germany,,(648)869-3813x19865,4830.0,524049704.6749892,Subsidiary,Purchased List,Fund Manager,Real Estate,$5B-$10B,
001tHF722Yo3aogK7j,Keith & Associates,Customer,Asset Management,South Korea,,,3849.0,102377766.58124627,Private,Purchased List,Fund Manager,Co-Investment,$25B-$50B,
001XmZePBEo1oXLSPi,Mack & Associates,Competitor,Real Estate,Singapore,https://www.mackassociates.net,,4238.0,919513671.0566776,Other,Web,Investor,Venture Capital,Under $100M,
001IkPgcS31ovwZ1Y8,Gallegos Capital,Competitor,Credit,United Kingdom,https://www.gallegos.net,255-493-0198x99220,,632147085.9377161,Public,Purchased List,Investor,Venture Capital,$10B-$25B,
0014DE38QSL6CwTvqt,Clark Ortiz Capital,Customer,Asset Management,Japan,https://www.clarkortiz.de,229-866-0863x75797,,595432756.7157532,Subsidiary,Partner Referral,Service Provider,Co-Investment,$5B-$10B,
