Id,AccountId,Name,StageName,Amount,CloseDate,Type,LeadSource,Service_Line__c
006exTVQUC8eHqKJqS,001XaWpbI7Tv9gd9Cg,"Blackstone Group - Underwood, Farley and Ortega Asset Manager - Data & Analytics",Qualification,1348962.0407046936,2025-04-12,Existing Business,Cold Call,Data & Analytics
006eTditS0XPH16OBI,001eXCudnogWz8gsTo,Robinsonport Investment Group - New Mexico Public Employees Pension Fund - Data & Analytics,Qualification,1792526.1121185673,2025-01-09,Renewal,Web,Data & Analytics
006vqHHARBqIWtX7YT,001eXCudnogWz8gsTo,Robinsonport Investment Group - United Kingdom Investment Authority - Research,Negotiation,,2024-08-17,Renewal,Referral,Research
006qJdk9M2nWB5vyCK,001qhn8Ia4KbwiOPVj,Sandoval & Associates - Dixon Ltd Corporate Pension - Training,Prospecting,1989498.180478603,2025-04-23,Existing Business,Cold Call,Training
006Qpp3D2jJ6rX56Y1,001qhn8Ia4KbwiOPVj,"Sandoval & Associates - Hurst, Wallace and Andrade Family Office - Research",Prospecting,,2024-09-22,Renewal,Partner,Research
006zyxguiU9NoEyjGQ,001R6qpGpmW5hsswAy,PLC Investment Management - Rogers-Shaffer Insurance - Training,Closed Won,1775917.8510906058,2024-10-24,Renewal,Cold Call,Training
006zzRkayKsyAlGDgO,001OkiZHF8d18iR1Qv,"Lawson Partners - Sullivan, Morgan and Daniels Corporate Pension - Training",Qualification,760592.6047984033,2025-05-09,Renewal,Cold Call,Training
006JCSCCf5z2zegttu,001OkiZHF8d18iR1Qv,Lawson Partners - Hernandez-Parker Fund of Funds - Advisory,Negotiation,495442.3124127066,2025-05-27,Renewal,Partner,Advisory
006fdDTR5HhUOWIiBE,001u0erZDAzzEPpr1X,"LLC Investment Management - Shields, Khan and Anderson Family Office - Data & Analytics",Closed Lost,751125.5331604712,2024-07-24,New Business,Referral,Data & Analytics
0065n2DEwobkoDziTH,001gXtN2e3vyO5xGxT,Campbell & Associates - Stein PLC Corporate Pension - Technology,Qualification,185502.78938695675,2024-07-04,New Business,Web,Technology
006k7YbORrcwcgPamF,001a7omw3fjLgJaqpK,and Sons Investment Management - Payne-Jones Bank - Advisory,Qualification,,2025-05-21,New Business,Partner,Advisory
006lXoCtPvd2YdWbil,001a7omw3fjLgJaqpK,"and Sons Investment Management - Hess, Stephens and Fitzgerald Foundation - Data & Analytics",Negotiation,,2025-03-20,New Business,Partner,Data & Analytics
006Q5iShocrWhP6DKr,001ToTGtgLFqJI1Ogk,Jennifershire Investment Group - Cummings LLC Fund of Funds - Technology,Negotiation,1025937.4322829052,2025-06-02,Existing Business,Referral,Technology
006jM9J6P8wqSpQ7dv,001CyfoXZFnWDkaQnQ,New Joshua Investment Group - Kansas Public Employees Pension Fund - Data & Analytics,Closed Lost,404633.15860923525,2025-04-23,Existing Business,Web,Data & Analytics
006oTzHZXjrN5lK5Vy,0011IGIx9Kpk3WQ47x,Brown Capital - Jackson-Lyons Corporate Pension - Technology,Closed Won,1140143.6043711463,2025-06-02,New Business,Cold Call,Technology
006xpLDIg3qMJPIr48,001dg3nXDAnwTcEz9L,LLC Investment Management - Ramirez Ltd Foundation - Advisory,Negotiation,,2024-11-27,New Business,Cold Call,Advisory
006RiL1erXstRYtGCr,001dg3nXDAnwTcEz9L,LLC Investment Management - Johnson-Simmons Family Office - Data & Analytics,Prospecting,1465682.8099046298,2024-07-17,New Business,Referral,Data & Analytics
006IKODsYKSlG1HPDN,001QO819YCSQEmyh0m,"West Lisa Investment Group - Rodriguez, Spence and Garza Bank - Training",Closed Lost,888945.1462695212,2024-08-30,New Business,Web,Training
006zUT6xVrOWuVRqEH,001QO819YCSQEmyh0m,West Lisa Investment Group - Mccann PLC Foundation - Training,Prospecting,,2024-07-03,Renewal,Cold Call,Training
006g47tlCcAdIYLI3U,001fznamAoAsqZH7UD,Petersen Partners - Miller-Brown Corporate Pension - Advisory,Qualification,1580841.6348719343,2025-04-03,New Business,Partner,Advisory
006p2hiAcaEDDp98xZ,001gXHoSaxRtUfkVXr,Wu Partners - Navarro-Cameron Fund of Funds - Data & Analytics,Negotiation,279749.0925450149,2025-01-25,Renewal,Partner,Data & Analytics
006hxb5GJGWiusSRGs,001tHF722Yo3aogK7j,"Keith & Associates - Perez, Holland and Herrera Fund of Funds - Advisory",Closed Won,87096.83783827414,2024-12-14,Renewal,Cold Call,Advisory
